sim_id,truth_id,beta_case,n,alpha,tau,lambda_D,lambda_H,lambda_C,betaD1,betaD2,betaH1,betaH2,betaC1,betaC2,L,link,adjusted,n_rep,seed_base,truth_n_pair,truth_n_iter,truth_seed,progress_every
72,20,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,probit,IPCW,1000,820000,100000,100,70000,25
73,21,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,logit,unadjusted,1000,830000,100000,100,71000,25
74,21,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,logit,IPCW,1000,840000,100000,100,71000,25
75,22,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,probit,unadjusted,1000,850000,100000,100,72000,25
76,22,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,probit,IPCW,1000,860000,100000,100,72000,25
77,23,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,logit,unadjusted,1000,870000,100000,100,73000,25
78,23,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,logit,IPCW,1000,880000,100000,100,73000,25
79,24,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,probit,unadjusted,1000,890000,100000,100,74000,25
80,24,B2,200,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,probit,IPCW,1000,900000,100000,100,74000,25
81,25,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,logit,unadjusted,1000,910000,100000,100,75000,25
82,25,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,logit,IPCW,1000,920000,100000,100,75000,25
83,26,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,probit,unadjusted,1000,930000,100000,100,76000,25
84,26,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,probit,IPCW,1000,940000,100000,100,76000,25
85,27,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,logit,unadjusted,1000,950000,100000,100,77000,25
86,27,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,logit,IPCW,1000,960000,100000,100,77000,25
87,28,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,probit,unadjusted,1000,970000,100000,100,78000,25
88,28,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,probit,IPCW,1000,980000,100000,100,78000,25
89,29,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,logit,unadjusted,1000,990000,100000,100,79000,25
90,29,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,logit,IPCW,1000,1000000,100000,100,79000,25
91,30,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,probit,unadjusted,1000,1010000,100000,100,80000,25
92,30,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,probit,IPCW,1000,1020000,100000,100,80000,25
93,31,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,logit,unadjusted,1000,1030000,100000,100,81000,25
94,31,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,logit,IPCW,1000,1040000,100000,100,81000,25
95,32,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,probit,unadjusted,1000,1050000,100000,100,82000,25
96,32,B2,200,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,probit,IPCW,1000,1060000,100000,100,82000,25
97,17,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,logit,unadjusted,1000,1070000,100000,100,67000,25
98,17,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,logit,IPCW,1000,1080000,100000,100,67000,25
99,18,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,probit,unadjusted,1000,1090000,100000,100,68000,25
100,18,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,probit,IPCW,1000,1100000,100000,100,68000,25
101,19,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,logit,unadjusted,1000,1110000,100000,100,69000,25
102,19,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,logit,IPCW,1000,1120000,100000,100,69000,25
103,20,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,probit,unadjusted,1000,1130000,100000,100,70000,25
104,20,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,probit,IPCW,1000,1140000,100000,100,70000,25
105,21,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,logit,unadjusted,1000,1150000,100000,100,71000,25
106,21,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,logit,IPCW,1000,1160000,100000,100,71000,25
107,22,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,probit,unadjusted,1000,1170000,100000,100,72000,25
108,22,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,probit,IPCW,1000,1180000,100000,100,72000,25
109,23,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,logit,unadjusted,1000,1190000,100000,100,73000,25
110,23,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,logit,IPCW,1000,1200000,100000,100,73000,25
111,24,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,probit,unadjusted,1000,1210000,100000,100,74000,25
112,24,B2,400,1.0,0.0,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,probit,IPCW,1000,1220000,100000,100,74000,25
113,25,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,logit,unadjusted,1000,1230000,100000,100,75000,25
114,25,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,logit,IPCW,1000,1240000,100000,100,75000,25
115,26,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,probit,unadjusted,1000,1250000,100000,100,76000,25
116,26,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,0.5,probit,IPCW,1000,1260000,100000,100,76000,25
117,27,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,logit,unadjusted,1000,1270000,100000,100,77000,25
118,27,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,logit,IPCW,1000,1280000,100000,100,77000,25
119,28,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,probit,unadjusted,1000,1290000,100000,100,78000,25
120,28,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,1.0,probit,IPCW,1000,1300000,100000,100,78000,25
121,29,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,logit,unadjusted,1000,1310000,100000,100,79000,25
122,29,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,logit,IPCW,1000,1320000,100000,100,79000,25
123,30,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,probit,unadjusted,1000,1330000,100000,100,80000,25
124,30,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,2.0,probit,IPCW,1000,1340000,100000,100,80000,25
125,31,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,logit,unadjusted,1000,1350000,100000,100,81000,25
126,31,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,logit,IPCW,1000,1360000,100000,100,81000,25
127,32,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,probit,unadjusted,1000,1370000,100000,100,82000,25
128,32,B2,400,2.0,0.5,0.25,1.0,0.35,-0.45,0.35,0.5,-0.3,-0.6,0.5,Inf,probit,IPCW,1000,1380000,100000,100,82000,25
